source_V,lumped_path_ohm,assumed_limit_A,assumed_fan_start_A,assumed_aux_A,fans,stagger_s,peak_demand_A,running_A,peak_bus_V_if_not_limited,steady_bus_V,optimistic_100uF_hold_up_to_10_8V_s,classification
11.4,0.1,3.0,1.65,0.1,1,0,1.75,0.65,11.225,11.335,,within_provisional_envelope
11.4,0.1,3.0,1.65,0.1,1,5,1.75,0.65,11.225,11.335,,within_provisional_envelope
11.4,0.1,3.0,1.65,0.1,2,0,3.4,1.2000000000000002,,11.280000000000001,0.00014999999999999996,current_capacity_exceeded
11.4,0.1,3.0,1.65,0.1,2,5,2.3000000000000003,1.2000000000000002,11.17,11.280000000000001,,within_provisional_envelope
11.4,0.1,4.0,0.55,0.05,1,0,0.6000000000000001,0.6000000000000001,11.34,11.34,,within_provisional_envelope
11.4,0.1,4.0,0.55,0.05,1,5,0.6000000000000001,0.6000000000000001,11.34,11.34,,within_provisional_envelope
11.4,0.1,4.0,0.55,0.05,2,0,1.1500000000000001,1.1500000000000001,11.285,11.285,,within_provisional_envelope
11.4,0.1,4.0,0.55,0.05,2,5,1.1500000000000001,1.1500000000000001,11.285,11.285,,within_provisional_envelope
11.4,0.1,4.0,0.55,0.1,1,0,0.65,0.65,11.335,11.335,,within_provisional_envelope
11.4,0.1,4.0,0.55,0.1,1,5,0.65,0.65,11.335,11.335,,within_provisional_envelope
11.4,0.1,4.0,0.55,0.1,2,0,1.2000000000000002,1.2000000000000002,11.280000000000001,11.280000000000001,,within_provisional_envelope
11.4,0.1,4.0,0.55,0.1,2,5,1.2000000000000002,1.2000000000000002,11.280000000000001,11.280000000000001,,within_provisional_envelope
11.4,0.1,4.0,1.1,0.05,1,0,1.1500000000000001,0.6000000000000001,11.285,11.34,,within_provisional_envelope
11.4,0.1,4.0,1.1,0.05,1,5,1.1500000000000001,0.6000000000000001,11.285,11.34,,within_provisional_envelope
11.4,0.1,4.0,1.1,0.05,2,0,2.25,1.1500000000000001,11.175,11.285,,within_provisional_envelope
11.4,0.1,4.0,1.1,0.05,2,5,1.7000000000000002,1.1500000000000001,11.23,11.285,,within_provisional_envelope
11.4,0.1,4.0,1.1,0.1,1,0,1.2000000000000002,0.65,11.280000000000001,11.335,,within_provisional_envelope
11.4,0.1,4.0,1.1,0.1,1,5,1.2000000000000002,0.65,11.280000000000001,11.335,,within_provisional_envelope
11.4,0.1,4.0,1.1,0.1,2,0,2.3000000000000003,1.2000000000000002,11.17,11.280000000000001,,within_provisional_envelope
11.4,0.1,4.0,1.1,0.1,2,5,1.7500000000000002,1.2000000000000002,11.225,11.280000000000001,,within_provisional_envelope
11.4,0.1,4.0,1.65,0.05,1,0,1.7,0.6000000000000001,11.23,11.34,,within_provisional_envelope
11.4,0.1,4.0,1.65,0.05,1,5,1.7,0.6000000000000001,11.23,11.34,,within_provisional_envelope
11.4,0.1,4.0,1.65,0.05,2,0,3.3499999999999996,1.1500000000000001,11.065000000000001,11.285,,within_provisional_envelope
11.4,0.1,4.0,1.65,0.05,2,5,2.25,1.1500000000000001,11.175,11.285,,within_provisional_envelope
11.4,0.1,4.0,1.65,0.1,1,0,1.75,0.65,11.225,11.335,,within_provisional_envelope
11.4,0.1,4.0,1.65,0.1,1,5,1.75,0.65,11.225,11.335,,within_provisional_envelope
11.4,0.1,4.0,1.65,0.1,2,0,3.4,1.2000000000000002,11.06,11.280000000000001,,within_provisional_envelope
11.4,0.1,4.0,1.65,0.1,2,5,2.3000000000000003,1.2000000000000002,11.17,11.280000000000001,,within_provisional_envelope
11.4,0.25,2.0,0.55,0.05,1,0,0.6000000000000001,0.6000000000000001,11.25,11.25,,within_provisional_envelope
11.4,0.25,2.0,0.55,0.05,1,5,0.6000000000000001,0.6000000000000001,11.25,11.25,,within_provisional_envelope
11.4,0.25,2.0,0.55,0.05,2,0,1.1500000000000001,1.1500000000000001,11.1125,11.1125,,within_provisional_envelope
11.4,0.25,2.0,0.55,0.05,2,5,1.1500000000000001,1.1500000000000001,11.1125,11.1125,,within_provisional_envelope
11.4,0.25,2.0,0.55,0.1,1,0,0.65,0.65,11.2375,11.2375,,within_provisional_envelope
11.4,0.25,2.0,0.55,0.1,1,5,0.65,0.65,11.2375,11.2375,,within_provisional_envelope
11.4,0.25,2.0,0.55,0.1,2,0,1.2000000000000002,1.2000000000000002,11.1,11.1,,within_provisional_envelope
11.4,0.25,2.0,0.55,0.1,2,5,1.2000000000000002,1.2000000000000002,11.1,11.1,,within_provisional_envelope
11.4,0.25,2.0,1.1,0.05,1,0,1.1500000000000001,0.6000000000000001,11.1125,11.25,,within_provisional_envelope
